purchase_id,student_id,subscription_id,subscription,refunds,price,refund_id,refunded_date,first_purchase_date,current_purchase_date,revenue_type,student_country
6679,134826,0,lifetime,refund,29,NULL,10/11/2018 15:43,10/11/2018 3:00,10/11/2018 3:00,new,BG
6680,127232,0,lifetime,refund,29,NULL,10/11/2018 11:55,10/11/2018 3:00,10/11/2018 3:00,new,
6681,127233,0,lifetime,refund,29,NULL,10/11/2018 11:48,10/11/2018 3:00,10/11/2018 3:00,new,
6682,1273,0,lifetime,refund,29,NULL,10/11/2018 11:44,10/11/2018 3:00,10/11/2018 3:00,new,BG
6674,134826,0,lifetime,refund,29,NULL,11/12/2018 9:16,10/11/2018 3:00,11/11/2018 2:00,recurring,BG
6675,127232,0,lifetime,refund,29,NULL,11/12/2018 9:17,10/11/2018 3:00,11/11/2018 2:00,recurring,
6676,127233,0,lifetime,refund,29,NULL,11/12/2018 9:16,10/11/2018 3:00,11/11/2018 2:00,recurring,
6677,1273,0,lifetime,refund,29,NULL,11/12/2018 9:16,10/11/2018 3:00,11/11/2018 2:00,recurring,BG
6672,127231,0,lifetime,net revenue,199,NULL,NULL,3/21/2019 2:00,3/21/2019 2:00,new,
6671,127230,0,lifetime,net revenue,199,NULL,NULL,3/24/2019 2:00,3/24/2019 2:00,new,
6670,12588,0,lifetime,net revenue,199,NULL,NULL,3/28/2019 2:00,3/28/2019 2:00,new,KE
6669,127229,0,lifetime,net revenue,199,NULL,NULL,4/8/2019 3:00,4/8/2019 3:00,new,
6668,127228,0,lifetime,net revenue,199,NULL,NULL,4/10/2019 3:00,4/10/2019 3:00,new,
6667,127227,0,lifetime,net revenue,199,NULL,NULL,4/24/2019 3:00,4/24/2019 3:00,new,
6666,127226,0,lifetime,net revenue,199,NULL,NULL,5/9/2019 3:00,5/9/2019 3:00,new,
6665,19932,0,lifetime,net revenue,199,NULL,NULL,5/13/2019 3:00,5/13/2019 3:00,new,US
6664,63038,0,lifetime,net revenue,199,NULL,NULL,5/16/2019 3:00,5/16/2019 3:00,new,OM
6662,127225,0,lifetime,refund,199,NULL,6/13/2019 10:41,5/21/2019 3:00,5/21/2019 3:00,new,
6663,9637,0,lifetime,net revenue,199,NULL,NULL,5/21/2019 3:00,5/21/2019 3:00,new,NO
6661,19087,0,lifetime,net revenue,199,NULL,NULL,5/22/2019 3:00,5/22/2019 3:00,new,CN
6660,135314,0,lifetime,net revenue,400,NULL,NULL,5/23/2019 3:00,5/23/2019 3:00,new,
